rank_from_low,rank_from_high,percentile,ideology,id,bioguide_id,state,district,name
1,100,0,0.0,412378,F000457,MN,,b'Franken'
2,99,1,0.06337747964503987,400357,S000033,VT,,b'Sanders'
3,98,2,0.06585659498165536,412325,M001176,OR,,b'Merkley'
4,97,3,0.08209023658524482,400253,M000133,MA,,b'Markey'
5,96,4,0.0845028677427129,412223,G000555,NY,,b'Gillibrand'
6,95,5,0.10027379069901411,400415,V000128,MD,,b'Van Hollen'
7,94,6,0.10993267830450469,300081,R000122,RI,,b'Reed'
8,93,7,0.14261842195461705,412678,H001075,CA,,b'Harris'
9,92,8,0.14381099249764928,300076,M001111,WA,,b'Murray'
10,91,9,0.16047734203077071,412490,B001277,CT,,b'Blumenthal'
11,90,10,0.1726700708864818,400050,B000944,OH,,b'Brown'
12,89,11,0.1731291017367957,412194,M001169,CT,,b'Murphy'
13,88,12,0.17474609721618187,300038,D000563,IL,,b'Durbin'
14,87,13,0.1781246447848125,412200,H001042,HI,,b'Hirono'
15,86,14,0.18112798720322065,300043,F000062,CA,,b'Feinstein'
16,85,15,0.18885233851454497,412247,W000802,RI,,b'Whitehouse'
17,84,16,0.19898343414649663,412680,H001076,NH,,b'Hassan'
18,83,17,0.206383987138008,412598,B001288,NJ,,b'Booker'
19,82,18,0.21238221490695347,412533,D000622,IL,,b'Duckworth'
20,81,19,0.22513464949569081,412542,W000817,MA,,b'Warren'
21,80,20,0.22552314745886498,300100,W000779,OR,,b'Wyden'
22,79,21,0.23080640525932536,412507,S001194,HI,,b'Schatz'
23,78,22,0.23249620878551508,300065,L000174,VT,,b'Leahy'
24,77,23,0.2607745757096164,400272,M000639,NJ,,b'Men\xc3\xa9ndez'
25,76,24,0.2777988757727897,412681,C001113,NV,,b'Cortez Masto'
26,75,25,0.2819109608348206,400013,B001230,WI,,b'Baldwin'
27,74,26,0.2826372866212778,400064,C000141,MD,,b'Cardin'
28,73,27,0.2919712290072119,412582,K000384,VA,,b'Kaine'
29,72,28,0.2936200774119331,300019,C000174,DE,,b'Carper'
30,71,29,0.30808767270591025,300087,S000148,NY,,b'Schumer'
31,70,30,0.31469682628886203,300093,S000770,MI,,b'Stabenow'
32,69,31,0.32924793374069544,400413,U000039,NM,,b'Udall'
33,68,32,0.331921454711118,412246,C001070,PA,,b'Casey'
34,67,33,0.33636829291646825,412323,S001181,NH,,b'Shaheen'
35,66,34,0.33817620211868343,412281,H001046,NM,,b'Heinrich'
36,65,35,0.34462357120899123,300018,C000127,WA,,b'Cantwell'
37,64,36,0.3782703025652761,412242,K000367,MN,,b'Klobuchar'
38,63,37,0.3890410203443473,412390,C001088,DE,,b'Coons'
39,62,38,0.41994825102275674,412330,B001267,CO,,b'Bennet'
40,61,39,0.4354455604243344,412305,P000595,MI,,b'Peters'
41,60,40,0.47442792659455096,412321,W000805,VA,,b'Warner'
42,59,41,0.4970540063525083,412243,M001170,MO,,b'McCaskill'
43,58,42,0.5075897294104483,300025,C001035,ME,,b'Collins'
44,57,43,0.5080445275398672,412545,K000383,ME,,b'King'
45,56,44,0.5654381776955147,412244,T000464,MT,,b'Tester'
46,55,45,0.5826561628069149,412554,H001069,ND,,b'Heitkamp'
47,54,46,0.5858529235798056,300078,N000032,FL,,b'Nelson'
48,53,47,0.6130195821610159,400325,P000449,OH,,b'Portman'
49,52,48,0.6713043235730973,300075,M001153,AK,,b'Murkowski'
50,51,49,0.6722707033382782,300002,A000360,TN,,b'Alexander'
51,50,50,0.6799385489668613,412248,C001071,TN,,b'Corker'
52,49,51,0.6884176053277936,300089,S000320,AL,,b'Shelby'
53,48,52,0.7079104124325569,412205,D000607,IN,,b'Donnelly'
54,47,53,0.7185825242874219,412391,M001183,WV,,b'Manchin'
55,46,54,0.7331822537715235,400054,B001135,NC,,b'Burr'
56,45,55,0.7406106995879358,300071,M000303,AZ,,b'McCain'
57,44,56,0.7443102572509079,412671,S001197,NE,,b'Sasse'
58,43,57,0.756144108629172,400408,T000461,PA,,b'Toomey'
59,42,58,0.7571532518838815,412406,G000562,CO,,b'Gardner'
60,41,59,0.759455452549669,300072,M000355,KY,,b'McConnell'
61,40,60,0.759514872729311,300047,G000359,SC,,b'Graham'
62,39,61,0.7595920966538754,300023,C000567,MS,,b'Cochran'
63,38,62,0.7633326994384004,412492,P000603,KY,,b'Paul'
64,37,63,0.7818305629493273,400061,C001047,WV,,b'Capito'
65,36,64,0.7894763801754854,412218,H001041,NV,,b'Heller'
66,35,65,0.7911166322054854,412494,H001061,ND,,b'Hoeven'
67,34,66,0.793668630860109,412428,Y000064,IN,,b'Young'
68,33,67,0.7997654163030133,412665,S001198,AK,,b'Sullivan'
69,32,68,0.8125666110981029,300048,G000386,IA,,b'Grassley'
70,31,69,0.8129550587656733,400194,I000055,GA,,b'Isakson'
71,30,70,0.8171811911688303,412269,C001075,LA,,b'Cassidy'
